9|2009|Action - Adventure - Animation|6.6
10 Cloverfield Lane|2016|Science Fiction|6.8
13 Hours: The Secret Soldiers of Benghazi|2016|Action - Drama - History|7.0
20th Century Women|2016|Drama|7.2
22 Jump Street|2014|Crime - Comedy - Action|7.0
Aladdin|1992|Animation - Family - Comedy|7.4
Alice Through the Looking Glass|2016|Fantasy|6.5
Anchorman 2: The Legend Continues|2013|Comedy|6.0
The Angry Birds Movie|2016|Action - Animation - Comedy|5.9
Annihilation|2018|Mystery - Adventure|6.5
Arrival|2016|Thriller - Drama - Science Fiction|7.0
Arthur Christmas|2011|Drama - Animation - Family|6.7
Assassin's Creed|2016|Adventure - Action - Science Fiction|5.4
Atomic Blonde|2017|Action - Thriller|6.1
Avatar|2009|Action - Adventure|7.2
Avengers: Age of Ultron|2015|Action - Adventure - Science Fiction|7.3
Avengers: Infinity War|2018|Action - Adventure|8.4
Baby Driver|2017|Action - Crime|7.1
Bad Moms|2016|Comedy|6.2
A Bad Moms Christmas|2017|Adventure - Comedy|6.1
Batman and Harley Quinn|2017|Adventure - Action|6.6
Batman vs. Two-Face|2017|Action - Animation|N/A
Battle of the Sexes|2017|Comedy - Drama|7.3
Baywatch|2017|Action - Comedy|6.0
Beauty and the Beast|1991|Romance - Family - Animation|7.5
Beauty and the Beast|2017|Family - Fantasy - Romance|6.8
The BFG|2016|Adventure - Family - Fantasy|6.0
Big Hero 6|2014|Adventure - Family - Animation|7.8
The Big Sick|2017|Drama - Comedy|7.9
Birth of the Dragon|2017|Action - Drama|5.2
Black Mass|2015|Crime - Drama|6.3
Black Panther|2018|Action - Adventure|7.3
Blade Runner|1982|Science Fiction - Drama - Thriller|7.8
Blade Runner 2049|2017|Mystery - Science Fiction|7.4
The Boss Baby|2017|Animation - Comedy - Family|5.9
Boundin'|2003|Music - Animation - Family|7.0
The Boxtrolls|2014|Animation - Comedy - Family|6.7
The Boy|2016|Horror - Mystery - Thriller|5.8
Brave|2012|Animation - Adventure - Comedy|6.6
Bridge of Spies|2015|Thriller - Drama|7.1
A Bug's Life|1998|Adventure - Animation - Comedy|6.7
Captain America: Civil War|2016|Adventure - Action - Science Fiction|6.9
Captain America: The Winter Soldier|2014|Action - Adventure - Science Fiction|7.6
Captain Underpants -The First Epic Movie|2017|Action - Animation|6.8
Cars|2006|Animation - Adventure - Comedy|6.5
Cars 3|2017|Family - Comedy|6.6
Chappie|2015|Crime - Action - Science Fiction|6.6
Chef|2014|Comedy|7.2
CHiPS|2017|Action - Comedy - Drama|5.4
A Christmas Story|1983|Comedy - Family|7.4
Cinderella|2015|Romance - Fantasy - Family|6.7
The Circle|2017|Drama|5.2
Cloudy with a Chance of Meatballs|2009|Animation - Comedy - Family|6.5
Cloudy with a Chance of Meatballs 2|2013|Animation - Family - Comedy|6.5
The Cobbler|2014|Fantasy - Comedy - Drama|5.5
Coco|2017|Animation|7.8
Colossal|2017|Action - Comedy|6.4
Concussion|2015|Drama|7.0
Coraline|2009|Animation - Family|7.2
Creed|2015|Drama|7.3
The Croods|2013|Adventure - Animation - Comedy|6.8
A Cure for Wellness|2016|Horror - Mystery - Thriller|5.5
The Dark Knight Rises|2012|Action - Crime - Drama|7.5
The Dark Tower|2017|Action - Western|5.6
Darkest Hour|2017|Drama - History|7.2
Dawn of the Planet of the Apes|2014|Science Fiction - Action - Drama|7.4
Deadpool|2016|Action - Adventure - Comedy|7.3
Deadpool 2|2018|Action - Comedy|7.6
Descendants|2015|TV Movie - Action|6.6
Descendants 2|2017|TV Movie - Family - Action|7.4
Despicable Me|2010|Animation - Family|7.1
Despicable Me 2|2013|Animation - Comedy - Family|7.0
Despicable Me 3|2017|Science Fiction - Adventure|6.2
Despicable Me Presents: Minion Madness|2010|Family - Adventure - Animation|6.9
Dirty Grandpa|2016|Comedy|5.6
Divergent|2014|Adventure - Action - Science Fiction|6.9
Django Unchained|2012|Drama - Western|7.7
Doctor Strange|2016|Action - Adventure - Fantasy|7.0
